device_id	unixtime	lat	lon	polygon_id
982036752678c8a696b020fc7c1a67a4	1546435699	34.32259	-88.491	NULL
01c54e71c773858cd945b66294c494d3	1546433579	37.33602	-77.4361	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546469829	27.12545	-80.2036	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546421367	27.12541	-80.2036	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546403511	27.1254	-80.2036	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546421810	27.1254	-80.2036	NULL
25a9a198f6325c8d63071fbfbaf7abc1	1546443505	37.70631	-121.0874	NULL
96e3555ec4a7220a180d94b157812480	1546388512	38.90484	-76.9741	NULL
96e3555ec4a7220a180d94b157812480	1546449635	38.90467	-76.9745	NULL
96e3555ec4a7220a180d94b157812480	1546470931	38.90456	-76.9745	NULL
96e3555ec4a7220a180d94b157812480	1546470372	38.9045	-76.9744	NULL
96e3555ec4a7220a180d94b157812480	1546388506	38.90465	-76.9744	NULL
e1e771af107aeb72e68f231810a1e490	1546469030	39.21855	-84.3693	NULL
e1e771af107aeb72e68f231810a1e490	1546452281	39.24497	-84.3661	NULL
e1e771af107aeb72e68f231810a1e490	1546470085	39.15114	-84.4666	NULL
e1e771af107aeb72e68f231810a1e490	1546469062	39.21356	-84.3702	NULL
791df6dbf15852ee7dd8392c8792f565	1546390578	40.3356	-79.5507	NULL
d38d960e285c5c6a996d8e058386c524	1546395536	33.1712	-96.7548	NULL
da457c95421989886dd36ddfd4ae73a4	1546435810	26.41936	-98.3306	NULL
7441908a010770188bb4e5cde3f2e05a	1546397815	35.27104	-82.6822	NULL
7441908a010770188bb4e5cde3f2e05a	1546396059	35.27121	-82.6825	NULL
c823887c98b2084ccfcdce85ed580223	1546458339	37.88944	-122.1246	NULL
4a6aa112711a753d688d04ebf50ce043	1546401878	35.22551	-89.8455	NULL
d15d4ee71f4cc69ad0de749434bcb277	1546399212	37.28019	-80.0648	NULL
d15d4ee71f4cc69ad0de749434bcb277	1546399079	37.2802	-80.0648	NULL
7cf29fc76e22b8cb21812267d4756195	1546416314	43.4159	-123.1134	NULL
4edabb92383ebff06629ed35161da2df	1546431886	31.11712	-97.3182	NULL
63f090733436642edb2996161b86cf01	1546387371	33.86597	-118.0528	NULL
c6ef52e50685792bec4797a61141295c	1546465670	45.47747	-122.8029	NULL
92ad43dcb3e0dead109624bf9b91fa3b	1546438204	36.39337	-81.4887	NULL
92ad43dcb3e0dead109624bf9b91fa3b	1546452678	36.38164	-81.5069	NULL
